StockSymbol,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume
GOOGL,2024-03-28,98.62,1101.17,768.34,1428.72,62373
NVDA,2024-04-01,1973.34,186.77,107.72,1828.75,127490
TSLA,2024-08-09,1847.11,1986.98,98.98,552.58,739660
META,2024-07-15,174.94,126.42,598.96,1082.18,982489
NVDA,2024-09-19,1022.15,1839.61,439.0,1770.36,314774
MSFT,2024-10-02,504.39,360.42,1401.41,1580.97,679938
NVDA,2024-01-28,1927.04,287.92,1838.14,995.72,701142
NFLX,2024-02-19,1106.9,1723.67,205.02,1555.47,283747
GOOGL,2024-10-27,623.63,540.91,829.39,1531.49,409428
AMZN,2024-06-05,848.05,1418.49,457.87,1209.68,53278
MSFT,2024-10-11,1111.92,1862.31,47.36,1717.5,641262
MSFT,2024-02-22,624.42,867.26,1259.98,156.67,332753
AAPL,2024-02-26,668.75,1202.23,1576.52,938.84,729191
AMZN,2023-12-23,1695.09,556.43,1265.24,1419.2,809482
AMZN,2024-04-04,1385.83,112.96,1965.29,531.9,677352
AAPL,2024-01-08,1862.38,534.6,1593.21,114.7,210420
AMZN,2024-05-14,955.63,435.33,230.44,997.59,431481
NFLX,2024-05-30,915.78,272.31,1628.02,655.43,715390
NFLX,2024-06-20,256.64,624.93,1005.66,1470.49,177800
TSLA,2024-09-19,1898.0,1957.01,732.8,1176.3,116993
AAPL,2024-06-24,592.34,2002.14,638.63,491.38,166739
AMZN,2024-04-27,1939.99,712.94,1210.44,321.66,941147
TSLA,2024-08-18,586.75,1822.13,1571.39,1619.26,775725
GOOGL,2024-09-14,1196.24,1314.12,258.52,893.13,759494
META,2024-06-13,391.41,341.42,241.36,876.47,882419
AMZN,2024-08-15,223.6,203.21,440.31,1796.05,401983
TSLA,2024-06-16,1970.55,1708.81,1474.74,784.28,128475
MSFT,2023-12-19,1154.36,785.06,239.77,299.42,506299
TSLA,2024-01-12,298.16,1055.1,1894.05,146.03,716070
AMZN,2024-04-29,1638.61,1696.32,1174.91,548.46,932244
META,2024-10-19,509.0,1205.75,1964.72,242.07,970587
AAPL,2024-11-21,831.53,1117.99,1705.53,1613.16,354603
MSFT,2024-01-18,312.31,1271.67,93.96,1011.98,616616
NFLX,2024-12-02,809.82,1576.94,1526.02,640.56,837872
TSLA,2024-09-04,509.53,1766.11,1017.56,1202.31,66342
AAPL,2024-09-02,363.19,1747.52,1417.05,1945.88,593690
MSFT,2024-06-08,423.54,1100.34,1054.24,1544.55,350349
AMZN,2024-02-13,363.94,1276.54,343.81,1789.27,82637
NVDA,2024-09-23,1862.93,690.65,1275.87,851.59,354006
NFLX,2024-11-05,1458.7,634.27,1940.03,1306.04,329065
MSFT,2024-09-04,395.53,1577.05,1013.71,1971.47,2484
AMZN,2024-02-17,1369.31,1301.17,1495.36,1157.73,478218
NFLX,2024-05-03,632.87,449.64,684.02,704.53,483789
AMZN,2024-08-03,782.0,986.79,122.23,449.62,747455
AAPL,2024-06-12,460.1,844.73,1252.55,138.37,500644
META,2024-10-11,107.13,221.93,635.0,1350.18,366611
META,2024-02-05,355.43,1422.52,881.31,1867.12,587623
GOOGL,2024-10-19,555.51,728.28,1538.24,349.99,780090
AAPL,2024-05-15,821.66,1095.35,1576.65,1724.46,934613
MSFT,2024-06-28,766.68,1657.85,336.26,1311.15,253752
NFLX,2024-01-18,1598.69,105.81,738.35,1950.15,565437
AMZN,2024-03-10,635.05,933.52,884.18,1739.68,217778
META,2024-06-21,1022.67,1742.03,216.83,1891.56,112138
TSLA,2024-06-24,417.83,455.26,1053.75,1619.99,637492
TSLA,2024-01-09,218.76,1526.91,143.01,759.6,213191
TSLA,2024-02-22,1694.94,1783.53,1208.28,331.06,518496
MSFT,2024-04-10,1277.1,1347.65,897.38,1941.48,816762
AMZN,2024-04-12,1124.11,1087.29,832.67,1394.21,893402
GOOGL,2024-03-09,1906.32,470.89,784.42,706.97,256149
NFLX,2024-09-27,1722.06,173.88,1611.15,1491.3,481423
AAPL,2024-06-13,1076.79,1177.5,177.32,1105.59,484370
AAPL,2024-08-13,72.73,1406.93,1796.46,1842.48,904979
GOOGL,2024-02-08,1575.68,1933.3,1575.61,1840.13,237364
NFLX,2023-12-21,230.8,292.8,1650.16,1334.85,647670
AAPL,2024-11-17,1428.15,1339.17,145.76,1693.39,819283
META,2024-09-18,261.16,1522.95,866.55,513.09,105428
AAPL,2024-09-22,257.82,236.55,271.0,781.84,395367
NFLX,2024-11-14,1596.94,831.34,118.01,1549.45,965651
META,2024-01-26,428.58,1073.23,1514.75,68.72,251849
META,2024-11-20,128.06,1805.93,630.78,1169.15,165617
MSFT,2024-11-27,264.2,378.82,1400.02,1221.07,755857
NFLX,2024-07-02,153.03,1478.77,1339.16,1831.09,220260
AAPL,2024-01-25,161.03,800.38,35.09,358.82,915094
GOOGL,2024-01-13,1021.2,1493.31,1308.78,855.84,216544
NVDA,2024-07-25,297.99,391.44,608.09,1484.32,818534
NVDA,2024-03-28,1757.59,1740.33,1546.58,1521.17,939825
GOOGL,2024-06-06,262.12,866.71,765.35,1374.54,878731
NFLX,2024-05-05,1547.21,1415.43,1820.02,1928.21,428924
NFLX,2024-10-12,1999.8,804.14,620.06,1363.72,709940
NFLX,2023-12-26,1603.38,740.42,445.44,1136.92,962275
MSFT,2023-12-30,1599.05,1736.72,1608.45,1874.41,116136
NVDA,2024-02-03,1905.81,1305.75,1257.93,1370.44,92023
AAPL,2024-06-25,194.31,1853.76,800.72,53.36,198887
NVDA,2024-10-07,1342.87,297.59,1266.98,1303.8,270786
META,2024-08-19,1730.27,1642.67,39.4,602.47,25943
NVDA,2024-12-07,1715.34,1931.31,1518.36,1839.36,316544
TSLA,2024-05-16,111.39,1115.02,1114.31,263.97,102830
NFLX,2024-01-30,1205.67,1162.55,166.18,562.34,138430
GOOGL,2024-04-01,1425.73,842.83,1394.76,1842.1,172892
TSLA,2024-09-19,1697.87,556.86,1355.97,852.67,493501
META,2024-07-23,1915.9,276.99,1182.25,981.66,203767
NFLX,2024-08-29,376.37,1779.47,576.68,444.85,655609
MSFT,2024-09-24,414.48,719.95,1244.68,830.13,948138
AAPL,2024-10-01,780.0,712.4,403.29,143.87,678486
META,2024-08-20,1858.51,860.95,631.79,90.46,657541
GOOGL,2024-07-12,1600.43,470.38,1450.28,1418.19,525028
MSFT,2024-05-07,1837.63,1120.91,226.8,89.44,170919
NFLX,2024-07-28,630.88,1607.99,1672.03,151.36,224320
NVDA,2024-09-14,1354.38,1968.32,839.34,817.27,109646
AAPL,2024-05-16,1815.38,1052.18,1675.38,1428.48,571319
TSLA,2024-03-23,79.19,552.19,740.11,593.71,890543
TSLA,2024-06-20,812.28,637.2,1065.97,1159.24,490997
AAPL,2024-05-05,1747.61,901.4,1871.77,1352.91,761884
AAPL,2024-07-14,1969.3,1480.44,886.99,754.15,346790
TSLA,2024-01-15,1760.14,1213.92,1466.71,960.07,441269
MSFT,2024-12-02,835.16,1457.97,432.49,1520.0,179128
NFLX,2024-01-24,1315.77,1897.82,769.04,558.1,751937
TSLA,2024-10-10,169.28,1124.37,538.86,1446.79,58539
MSFT,2024-03-25,1386.08,1170.97,1983.4,846.29,826999
TSLA,2024-04-04,486.76,1411.18,61.91,78.87,572726
META,2024-10-15,1231.56,792.9,753.48,1398.56,595739
META,2024-11-20,1809.98,203.7,357.24,250.99,455974
NFLX,2024-12-02,438.76,1957.94,754.49,1565.6,269338
AMZN,2024-08-31,1100.78,315.46,1635.34,237.27,990486
NVDA,2024-11-26,1715.53,335.39,1782.76,550.99,285639
META,2024-06-16,1949.3,1321.54,495.51,188.58,576949
NVDA,2024-06-20,391.22,1377.13,588.42,569.81,701799
NVDA,2024-04-12,1057.49,1854.26,493.33,680.6,987809
AMZN,2024-07-03,1029.48,1636.82,629.11,1112.04,462799
MSFT,2024-10-10,1501.18,1276.79,697.18,689.4,681065
MSFT,2024-04-29,1024.23,475.78,731.64,1688.04,304596
MSFT,2024-06-23,1033.0,1294.95,1831.14,327.91,763752
TSLA,2024-11-01,1525.51,1393.02,1450.73,366.6,663552
AAPL,2024-07-22,913.47,1324.42,1114.77,471.83,709498
NVDA,2024-01-19,692.9,1821.29,1616.96,1658.39,543190
AMZN,2024-09-30,186.88,999.82,152.49,535.45,149688
TSLA,2024-04-24,461.05,532.09,363.84,728.4,70261
TSLA,2024-10-07,1870.32,307.79,1084.09,1045.82,118031
AAPL,2024-02-28,1468.66,386.16,1442.28,687.08,310673
META,2023-12-17,225.55,292.4,1273.71,1091.34,886965
AMZN,2024-12-02,543.41,362.88,998.76,1117.49,454408
AAPL,2024-11-29,484.83,1297.25,350.93,428.4,488334
META,2024-03-26,367.02,1354.52,442.46,271.86,612850
TSLA,2024-01-27,740.17,247.18,1273.96,635.37,543512
NFLX,2024-11-11,1861.99,1770.61,334.27,1589.54,96282
NVDA,2024-10-18,1303.5,1071.01,398.82,989.63,259652
MSFT,2024-10-10,573.36,570.41,700.76,155.19,910812
TSLA,2024-08-08,1940.79,1103.89,57.75,1227.8,848980
GOOGL,2024-05-20,1406.97,606.28,78.52,1834.17,379866
GOOGL,2024-03-05,1666.36,610.71,794.92,1132.53,383851
AMZN,2024-10-25,1068.42,1801.72,68.0,1656.36,633490
NFLX,2024-06-11,670.57,288.24,165.48,1418.86,562871
GOOGL,2024-03-11,208.46,1290.56,1482.56,152.66,793328
NVDA,2024-09-07,973.74,308.24,254.8,322.05,326578
META,2024-10-14,1977.32,1625.68,733.65,1780.82,853160
TSLA,2024-07-21,432.9,1759.06,1296.64,827.91,734887
AMZN,2023-12-20,332.49,1593.81,228.32,1576.52,370082
AAPL,2024-12-07,383.99,445.77,1835.53,1773.45,947839
GOOGL,2024-02-10,1073.37,620.1,505.67,209.8,27353
AMZN,2024-08-03,108.73,1435.47,203.63,1830.2,76353
TSLA,2024-05-04,1849.11,985.69,1024.7,1702.38,447609
AMZN,2024-06-15,639.49,1053.41,659.84,625.51,277128
GOOGL,2024-04-09,285.93,1823.53,1482.29,1975.99,415942
TSLA,2024-01-11,373.74,953.5,424.76,1382.86,462814
AAPL,2024-03-16,1600.02,1645.76,564.5,1313.45,480161
NVDA,2023-12-26,1488.31,1334.64,335.49,620.13,840313
META,2024-04-11,1322.96,562.23,1054.18,1950.6,790716
AMZN,2024-08-17,229.46,1030.15,338.36,463.2,766696
META,2024-01-14,1150.45,1039.32,1650.44,406.11,850655
TSLA,2024-09-03,814.85,77.84,1796.47,1194.27,907554
META,2024-03-20,1080.06,352.08,1744.97,1283.87,725182
NFLX,2024-06-02,1808.59,1847.55,500.11,473.43,1228
NFLX,2024-11-19,1900.12,1334.95,37.01,705.63,207445
TSLA,2024-12-03,1506.05,677.21,1023.82,467.05,27281
MSFT,2024-02-24,960.41,331.39,22.64,63.93,88188
META,2024-02-27,906.17,1243.84,247.8,597.67,863233
META,2024-08-08,963.09,308.66,1356.13,966.22,147680
MSFT,2024-11-14,1791.36,580.52,1191.56,1092.75,229422
MSFT,2024-09-14,1029.19,1896.8,1017.36,677.67,752917
MSFT,2024-05-23,978.43,1767.16,1567.24,1741.52,946764
NFLX,2024-01-26,1439.09,130.14,1040.76,716.37,494138
TSLA,2024-07-13,1838.99,859.04,360.38,1493.49,118877
NVDA,2024-10-28,1184.79,1446.07,223.89,147.12,793116
AMZN,2024-10-22,1072.91,1446.16,1154.03,648.0,297110
GOOGL,2024-05-16,1463.72,1352.66,1368.41,1352.09,790266
MSFT,2024-04-26,578.03,841.67,1636.09,587.59,653667
AAPL,2024-07-20,664.3,426.71,1294.14,1790.38,345235
META,2024-03-23,749.1,1356.88,1758.38,1504.93,389280
GOOGL,2024-12-05,1590.94,1574.49,1626.41,1098.48,823989
NVDA,2024-06-25,1187.05,857.4,1384.85,625.07,524700
AMZN,2024-04-23,764.31,424.94,463.49,1192.99,826360
AAPL,2024-05-14,1874.0,1620.74,189.61,303.36,956168
MSFT,2024-07-21,253.5,1307.48,699.9,621.08,432471
NVDA,2024-06-30,1534.7,1518.85,894.98,901.7,580197
META,2024-01-29,1380.42,1729.6,843.82,1486.96,656096
GOOGL,2024-08-04,1351.58,1389.1,1875.98,1339.0,353738
NFLX,2024-09-29,1455.02,961.6,667.66,1125.5,725104
AMZN,2024-12-04,232.62,258.52,998.26,878.08,840783
TSLA,2024-12-01,1574.91,1229.14,1142.62,129.17,458606
NVDA,2024-10-03,1208.02,717.79,102.97,833.42,907999
NVDA,2024-07-21,1281.15,653.52,754.07,1289.25,688526
AMZN,2024-08-01,381.96,177.62,1771.68,1561.04,189366
GOOGL,2024-12-10,1949.68,187.33,1810.99,81.57,872835
NFLX,2024-06-21,764.4,633.69,108.93,1043.64,79677
GOOGL,2024-06-16,1647.99,158.73,1238.02,1289.36,151331
TSLA,2024-07-19,237.91,1758.68,1219.26,1842.14,238143
GOOGL,2024-10-17,1919.03,178.7,1117.54,1877.16,463499
NFLX,2024-02-08,396.79,1744.99,1530.71,1170.41,392345
MSFT,2024-07-17,1477.53,1761.54,1804.47,181.3,517864
GOOGL,2024-02-15,1971.33,1729.92,143.8,1416.83,353418
AMZN,2024-07-10,209.89,1503.48,579.65,1148.13,299746
NVDA,2024-01-29,51.73,208.66,1869.47,654.76,573945
TSLA,2024-01-21,1790.42,1718.12,1600.47,535.5,23867
GOOGL,2024-02-22,1505.48,960.52,1555.36,388.91,573188
MSFT,2024-08-22,1611.0,472.99,312.61,1992.87,457426
NFLX,2024-11-20,1622.41,825.74,1465.96,1667.09,354053
AMZN,2024-08-08,1370.62,1217.03,1905.13,373.5,732677
NVDA,2024-06-22,1942.9,1487.58,1340.84,777.49,502313
NFLX,2024-09-28,1373.89,697.41,1483.08,87.23,101590
AMZN,2024-05-11,1480.77,1705.23,1634.86,134.92,519171
NVDA,2024-03-13,1462.51,1523.32,819.15,1724.95,918413
TSLA,2024-08-01,1611.48,962.85,927.92,1437.08,329392
MSFT,2024-09-13,1950.42,962.48,1957.6,1745.95,321305
GOOGL,2024-05-18,502.4,502.07,381.7,1534.36,400218
NVDA,2024-08-30,1935.02,1585.07,207.79,347.51,638382
GOOGL,2024-09-15,465.35,156.46,359.19,694.65,989725
NVDA,2024-02-23,616.27,1899.8,266.72,890.78,226724
TSLA,2024-07-07,1156.36,1227.62,1810.25,804.41,491200
AMZN,2024-07-18,1803.91,1759.59,1841.64,1215.02,580219
GOOGL,2024-06-18,688.54,927.99,1798.57,535.58,334461
NVDA,2024-09-14,170.93,350.37,1578.56,1528.13,282941
NFLX,2024-11-04,1495.14,1502.06,1718.21,1379.84,222973
AMZN,2024-08-29,1991.9,403.14,1445.35,1120.01,973779
GOOGL,2024-02-12,668.95,1062.5,1713.54,1257.05,614599
AMZN,2024-07-20,1043.76,1304.91,81.58,545.87,17885
META,2024-10-23,1912.71,1172.62,85.73,1069.81,596290
NFLX,2023-12-16,1601.21,790.01,1603.07,1986.96,849155
MSFT,2024-11-24,976.2,774.18,1531.21,227.63,234527
MSFT,2023-12-25,524.7,1393.59,1143.69,452.86,471252
NFLX,2024-09-23,765.94,525.9,1931.1,272.04,672825
MSFT,2024-08-19,771.5,952.64,1117.56,249.73,277899
TSLA,2024-01-13,684.18,359.98,1497.68,598.32,541449
MSFT,2024-03-08,1092.13,688.07,880.98,1210.3,294973
NFLX,2024-11-28,221.92,994.43,1374.74,765.79,308935
MSFT,2024-06-14,893.0,1074.97,798.14,470.63,12839
NFLX,2024-08-28,562.64,362.14,173.63,97.27,984331
TSLA,2024-02-28,1741.73,990.55,1113.6,1007.23,498932
META,2024-12-14,1595.43,583.7,1013.43,749.88,672483
NFLX,2024-11-27,1301.2,952.52,193.85,1152.37,292230
META,2024-03-25,1940.06,1394.19,172.99,1252.95,903071
NVDA,2024-01-05,1192.7,1524.33,1284.23,524.15,998676
AMZN,2024-08-27,527.82,317.65,301.12,1128.33,494076
AAPL,2024-01-14,316.79,537.61,1727.53,1607.22,232615
TSLA,2024-01-09,1823.65,738.85,471.9,1149.03,372298
AMZN,2024-11-09,1433.14,421.61,1348.49,1508.96,178373
AMZN,2024-10-13,1362.78,810.18,711.23,992.24,871110
NFLX,2024-10-07,54.55,1099.02,1132.6,1830.99,764399
META,2024-02-04,701.89,737.72,967.4,822.49,10862
AMZN,2024-06-08,989.73,484.03,1558.11,249.19,625786
GOOGL,2024-09-16,365.84,1245.45,468.69,870.58,870625
AMZN,2024-03-02,581.76,1438.61,1414.58,433.1,425205
TSLA,2024-11-18,1680.88,839.75,256.54,1361.73,510012
NVDA,2024-05-02,786.9,269.33,468.42,1584.83,133320
NFLX,2023-12-22,688.99,1951.49,1566.88,909.56,565196
NVDA,2024-02-18,768.63,1528.68,1821.94,1399.84,222813
AAPL,2024-10-16,1134.49,942.68,1135.19,1540.82,300375
AMZN,2024-10-22,459.48,606.8,527.62,1210.61,820688
META,2024-02-01,396.18,1483.17,1658.58,190.22,415888
MSFT,2023-12-21,1731.43,1734.84,263.92,183.27,900685
META,2024-11-04,483.6,1539.42,213.68,1354.13,45321
TSLA,2024-04-14,857.87,189.43,645.42,437.08,655643
MSFT,2024-03-13,887.12,1214.86,1054.2,1236.17,725189
META,2024-11-26,428.07,1982.03,245.06,1647.85,60687
AMZN,2024-02-20,346.66,1270.16,47.21,1767.91,359754
GOOGL,2024-05-07,1174.5,1719.17,1905.2,117.51,635871
TSLA,2024-10-19,459.75,1489.63,253.57,486.07,66056
NFLX,2024-07-26,1203.79,1245.38,1639.21,1024.13,578354
TSLA,2024-05-12,1659.05,1427.56,185.42,377.94,450530
NFLX,2024-02-20,126.71,789.83,1691.37,879.93,557662
MSFT,2024-11-08,586.58,753.43,1532.84,389.83,410981
NVDA,2023-12-16,577.19,1900.79,1400.46,1046.87,774174
TSLA,2024-03-22,1031.93,1320.71,1663.5,1047.94,255084
AAPL,2024-06-30,518.9,1368.44,1605.42,1304.19,690677
MSFT,2024-03-01,629.15,707.93,282.23,151.57,621191
AAPL,2024-08-11,609.46,1888.35,1751.42,1728.87,565073
AMZN,2024-09-30,810.83,2016.78,142.45,783.81,111940
GOOGL,2024-07-10,414.17,1370.58,1876.45,109.27,881630
NFLX,2024-02-20,1736.01,1483.77,239.83,997.67,342688
META,2024-03-02,1629.68,450.77,1248.32,1584.17,446838
MSFT,2024-11-28,1239.73,1402.06,1383.32,1441.11,406840
AMZN,2024-06-26,1283.67,1394.93,718.34,1930.01,859992
AMZN,2024-11-21,656.65,1853.55,1089.69,433.65,318436
MSFT,2024-10-21,1210.4,1505.25,426.2,554.54,347930
GOOGL,2024-07-29,363.18,214.05,244.52,63.0,447683
NVDA,2024-06-29,711.71,774.31,1450.78,1118.64,168891
TSLA,2023-12-22,1561.05,672.45,57.91,807.43,527107
MSFT,2024-03-04,1985.66,987.03,1610.53,1267.13,713611
MSFT,2024-04-11,367.56,1055.91,1368.59,1552.31,587716
AMZN,2024-01-30,1413.06,509.39,629.24,87.03,341943
META,2024-05-25,1017.43,717.75,744.9,1199.06,498528
TSLA,2024-06-20,891.24,2020.94,825.31,612.82,99540
AAPL,2024-09-02,1685.14,1751.5,205.73,1088.48,504653
META,2024-01-05,988.07,1607.53,1758.15,1952.1,131488
NFLX,2024-08-01,1623.34,638.96,419.92,1116.52,730792
NFLX,2024-02-21,1004.87,300.71,1663.5,844.78,682510
NFLX,2024-07-09,107.61,1830.2,690.18,682.58,188470
AAPL,2024-12-13,766.08,1591.11,1435.79,619.31,937016
AMZN,2024-09-23,260.98,1723.48,997.31,1073.53,957279
AAPL,2024-09-17,1248.85,105.08,706.61,695.04,75735
NFLX,2024-02-16,248.83,199.66,1410.35,364.07,513325
NFLX,2024-06-06,1431.34,695.87,995.94,845.79,882805
TSLA,2024-09-17,474.13,951.17,1762.5,1780.42,189440
MSFT,2024-05-29,904.24,1299.47,1405.12,373.4,879099
TSLA,2024-08-22,322.99,1075.18,256.97,1129.85,286936
AMZN,2024-08-03,1156.11,954.02,72.83,1964.76,254622
META,2024-08-06,149.78,1206.0,946.23,929.7,351893
GOOGL,2024-06-05,1560.67,1833.03,1171.11,282.95,174767
TSLA,2024-10-26,1244.64,980.66,780.37,202.7,947847
TSLA,2024-02-02,426.27,344.24,660.05,1018.79,86125
META,2024-02-08,1905.55,207.34,1163.84,1290.57,358951
TSLA,2024-03-27,1615.06,843.67,1846.62,446.99,388995
AMZN,2024-10-20,919.1,1130.73,1842.95,1377.29,83383
TSLA,2024-12-09,1043.06,397.12,779.87,1164.26,832281
META,2024-01-29,557.36,1008.43,87.09,1151.95,399761
AAPL,2024-10-29,767.55,1198.71,1061.51,317.05,14213
MSFT,2024-07-23,135.14,1178.47,652.61,137.77,525169
AAPL,2024-09-14,235.44,1016.34,391.01,572.22,907803
NFLX,2024-09-18,1702.29,394.46,220.76,1181.32,705574
TSLA,2024-12-09,320.29,136.04,108.73,1157.26,458767
TSLA,2024-11-30,1066.78,959.58,622.02,394.05,921907
MSFT,2024-06-15,1307.33,1274.84,229.56,1129.28,331740
MSFT,2024-07-28,920.88,650.9,1422.03,1279.77,806078
AAPL,2024-12-06,394.28,199.03,406.63,105.36,573049
GOOGL,2024-02-28,904.85,641.31,716.52,866.12,953446
AMZN,2024-08-22,1799.18,971.09,691.91,304.28,961493
NFLX,2024-04-26,231.93,434.6,1643.2,1400.81,597378
TSLA,2024-02-01,1796.37,695.67,959.4,1230.86,458866
META,2024-06-17,1016.04,1527.56,1137.72,204.4,84057
AMZN,2024-03-02,674.39,426.67,995.77,144.0,820210
NFLX,2024-10-27,104.95,1980.21,557.19,1841.72,900204
NVDA,2023-12-20,1528.71,568.41,1645.42,927.93,332373
MSFT,2024-05-11,1202.6,350.91,99.23,1678.53,952601
NVDA,2024-03-25,167.17,1936.22,1424.85,1105.17,426273
META,2024-10-11,1679.91,969.76,1456.7,1983.5,948412
NFLX,2024-11-04,113.15,890.89,1226.76,1598.7,694963
META,2024-06-19,1698.87,1071.05,624.17,469.06,443666
NVDA,2024-07-25,1955.55,623.64,1918.13,419.91,953107
GOOGL,2024-10-27,1208.63,1539.01,692.59,665.8,182492
NFLX,2024-09-14,378.5,756.73,979.54,806.02,496488
GOOGL,2024-07-28,1320.69,1880.22,1216.1,1171.53,860746
NFLX,2024-05-05,710.12,102.22,543.59,1003.18,596132
META,2024-09-01,99.19,463.52,560.71,1906.63,392160
GOOGL,2024-01-28,1318.22,1983.22,333.95,1257.44,218637
NFLX,2024-03-12,264.9,1896.23,1419.41,817.94,323611
AAPL,2024-10-18,716.78,975.99,213.31,1889.73,538915
TSLA,2024-04-26,1964.57,1915.0,1779.11,146.46,607325
AAPL,2023-12-29,746.26,1768.29,1447.32,110.88,213505
NVDA,2024-03-09,554.49,1291.81,60.94,1728.42,997391
TSLA,2024-03-02,230.59,1446.44,1767.7,1296.12,763555
AMZN,2024-09-06,888.04,1550.22,1578.83,1260.34,197968
AAPL,2023-12-24,1988.68,233.99,1516.47,448.5,154767
AAPL,2024-09-27,1835.63,93.12,571.74,161.74,769677
META,2024-08-03,659.26,1219.09,1237.18,1451.49,569074
AAPL,2023-12-22,1158.22,1389.49,114.03,113.32,165458
META,2023-12-19,385.22,501.58,1685.01,1564.68,243554
AMZN,2024-12-08,600.91,1798.18,1606.38,132.11,356454
MSFT,2024-03-18,1781.41,1277.03,143.35,1023.64,793240
META,2024-04-22,1564.25,1157.91,1664.55,780.6,55410
AMZN,2024-08-22,1925.01,1076.92,1756.81,203.8,390070
AMZN,2024-10-28,1597.15,1323.5,1717.6,1780.31,792085
AAPL,2024-05-23,1540.12,1593.14,1504.14,668.68,101959
TSLA,2024-12-03,421.18,621.13,388.82,702.1,985098
NVDA,2024-01-05,915.43,2026.8,431.61,799.52,121357
MSFT,2024-05-28,1247.6,838.8,865.61,1120.42,891051
NVDA,2024-04-08,412.41,1045.39,1352.11,643.33,858052
